UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=1000000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=1000000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=10000000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=xe-2/1/2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=10000000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=xe-2/1/2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=10000000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=xe-2/1/3, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.1, capacity=10000000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=xe-2/1/3, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.98.42, hostname=62.40.114.1, capacity=60000000000, capacityValueUnits=null, direction=in, description=Link (L) to mx1.vie.at, startTime=1397080843955, endTime=1397098903955, name=ae4.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.98.42, hostname=62.40.114.1, capacity=60000000000, capacityValueUnits=null, direction=out, description=Link (L) to mx1.vie.at, startTime=1397080843955, endTime=1397098903955, name=ae4.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=100000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.106, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=in, description=Link to MARNet AP2 (Pr: NEOTEL  Id: CIETH1N00016), startTime=1397080843955, endTime=1397098903955, name=ge-0/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=194.149.130.106, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=out, description=Link to MARNet AP2 (Pr: NEOTEL  Id: CIETH1N00016), startTime=1397080843955, endTime=1397098903955, name=ge-0/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.125.141, hostname=62.40.114.11, capacity=1000000000, capacityValueUnits=null, direction=in, description=Link (L) to BREN, startTime=1397080843955, endTime=1397098903955, name=ge-0/0/1.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
